,ROOTNAME,PROPOSID,LINENUM,SUNANGLE,MOONANGL,SUN_ALT,DATE-OBS,EXPTIME,PA_V3,POSTARG1,POSTARG2,FILTER,PATTERN1,LTV1,LTV2,LTM1_1,LTM2_2,PA_APER,VAFACTOR,ORIENTAT,RA_APER,DEC_APER
0,idwbk5lyq,15510,K5.004,106.074936,95.168976,-40.378574,2020-01-12,699.232483,228.001099,-25.90766,-30.19314,G102,NONE,0.0,0.0,1.0,1.0,-87.3079,0.9998926928528,-87.30791771224993,44.53496830421,-8.964933700631
1,idwbk6mhq,15510,K6.007,105.900192,97.75351,-11.32797,2020-01-12,699.232483,228.001099,-26.24366,-31.039141,G141,NONE,0.0,0.0,1.0,1.0,-87.3079,0.9999044915961,-87.30791771224993,44.53472622222,-8.965015893307
2,idwbp6lpq,15510,P6.001,106.133965,94.132492,1.130557,2020-01-12,300.0,244.141205,0.18469,0.19695,F606W,WFC3-UVIS-DITHER-LINE-3PT,0.0,-1.0,1.0,1.0,-71.3117,0.9999153441998,-71.31178403704227,44.54386077187,-8.958107820618
3,idwbp6lsq,15510,P6.002,106.118446,94.362137,-30.976133,2020-01-12,300.0,244.141205,0.18469,0.19695,F814W,WFC3-UVIS-DITHER-LINE-3PT,0.0,-1.0,1.0,1.0,-71.3117,0.9998911570038,-71.31178403704227,44.54386077187,-8.958107820618
4,idwbk3z1q,15510,K3.002,143.42569,109.9235,-4.372442,2019-11-29,699.232483,228.001205,-28.613661,-32.611141,G102,NONE,0.0,0.0,1.0,1.0,-87.3078,0.9999680580055,-87.30781580453576,44.53425333848,-8.965652990247
5,idwbk6m9q,15510,K6.003,105.961075,96.84861,-9.46819,2020-01-12,699.232483,228.001099,-27.26066,-31.40214,G141,NONE,0.0,0.0,1.0,1.0,-87.3079,0.9999053527438,-87.30791771224993,44.53461082185,-8.965293345479
6,idwbk4d5q,15510,K4.005,142.755447,98.932938,16.132992,2019-11-30,349.232727,228.001205,-28.613661,-32.611141,F140W,NONE,0.0,0.0,1.0,1.0,-87.3078,0.9999773969535,-87.30781580453576,44.53425333848,-8.965652990247
7,idwbp5a6q,15510,P5.001,146.701233,159.485794,-18.825638,2019-11-25,290.0,190.932297,0.09235,0.09848,F606W,WFC3-UVIS-DITHER-LINE-3PT,0.0,-1.0,1.0,1.0,-124.518,0.9999779738173,-124.5182205087279,44.54379976839,-8.958102250861
8,idwbk5m1q,15510,K5.006,106.029251,95.83535,30.909933,2020-01-12,699.232483,228.001205,-27.596661,-32.248138,G102,NONE,0.0,0.0,1.0,1.0,-87.3078,0.999922334768,-87.30781580453576,44.53436874037,-8.965375538239
9,idwbk4d6q,15510,K4.006,142.752258,98.877022,-2.973629,2019-11-30,699.232483,228.001205,-27.596661,-32.248138,G141,NONE,0.0,0.0,1.0,1.0,-87.3078,0.9999656914251,-87.30781580453576,44.53436874037,-8.965375538239
